Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
0.564	3.520	0.22
2.689	3.570	0.22
3.099	3.560	0.22
4.131	3.510	0.22
5.134	3.700	0.22
5.617	3.910	0.22
5.917	3.810	0.22
7.103	3.830	0.22
7.579	4.230	0.22
8.589	3.820	0.22
10.024	4.710	0.22
10.076	5.140	0.22
11.553	4.820	0.22
12.469	4.820	0.22
13.048	5.220	0.22
14.006	5.380	0.22
14.914	5.460	0.22
15.196	5.250	0.22
15.414	5.390	0.22
16.821	5.350	0.22
17.359	5.340	0.22
17.785	5.190	0.22
18.229	5.300	0.22
19.636	5.220	0.22
19.804	5.130	0.22
19.804	5.220	0.22
20.375	5.090	0.22
22.249	5.120	0.22
22.964	4.980	0.22
23.859	5.030	0.22
24.626	5.070	0.22
24.969	4.970	0.22
25.75	4.940	0.22
26.585	4.940	0.22
26.585	4.940	0.22
26.833	4.870	0.22
27.694	4.970	0.22
28.2	4.890	0.22
29.04	5.030	0.22
29.815	4.920	0.22
31.246	4.790	0.22
31.246	4.830	0.22
31.431	4.840	0.22
31.583	4.870	0.22
33.046	4.810	0.22
33.453	4.830	0.22
33.528	4.850	0.22
34.662	4.860	0.22
35.472	4.650	0.22
36.277	4.820	0.22
37.892	4.790	0.22
37.892	4.720	0.22
39.361	4.780	0.22
39.508	4.720	0.22
40.074	4.780	0.22
41.123	4.930	0.22
41.306	4.860	0.22
42.281	4.730	0.22
42.738	4.720	0.22
43.25	4.740	0.22
43.25	4.860	0.22
44.354	4.650	0.22
44.487	4.450	0.22
45.181	4.610	0.22
46.04	4.600	0.22
46.625	4.890	0.22
46.758	4.790	0.22
47.773	4.610	0.22
48.431	4.850	0.22
49.049	4.570	0.22
49.507	4.760	0.22
50.236	4.860	0.22
51.24	4.900	0.22
51.339	4.540	0.22
52.042	4.730	0.22
52.973	4.750	0.22
53.629	4.730	0.22
53.629	4.670	0.22
53.847	4.460	0.22
54.707	4.650	0.22
55.111	4.670	0.22
55.92	4.740	0.22
56.44	4.750	0.22
57.458	4.750	0.22
58.173	4.800	0.22
58.21	4.670	0.22
59.264	4.800	0.22
59.907	4.850	0.22
60.5	4.980	0.22
61.069	5.110	0.22
61.069	4.940	0.22
61.64	4.720	0.22
62.79	4.970	0.22
62.875	4.970	0.22
63.373	4.810	0.22
64.681	5.010	0.22
65.081	4.920	0.22
66.486	5.020	0.22
67.371	4.770	0.22
67.371	4.780	0.22
69.093	4.820	0.22
69.432	4.560	0.22
70.097	4.650	0.22
70.827	4.600	0.22
70.827	4.510	0.22
72.533	4.410	0.22
72.533	4.660	0.22
72.683	4.520	0.22
73.409	4.500	0.22
73.409	4.560	0.22
75.6	4.440	0.22
76.085	4.440	0.22
76.735	4.230	0.22
78.667	4.370	0.22
78.761	4.230	0.22
80.787	4.290	0.22
80.787	4.130	0.22
81.438	4.120	0.22
81.733	4.360	0.22
84.114	4.220	0.22
84.8	3.930	0.22
84.8	4.270	0.22
84.84	4.210	0.22
86.791	4.240	0.22
87.867	4.090	0.22
88.892	4.510	0.22
88.892	4.530	0.22
90.933	4.680	0.22
94	4.420	0.22
94	4.270	0.22
95.583	4.590	0.22
95.856	4.320	0.22
96.118	4.480	0.22
98.055	4.500	0.22
98.236	4.190	0.22
100.526	4.340	0.22
102.472	4.110	0.22
102.998	4.210	0.22
102.998	4.220	0.22
102.998	4.360	0.22
103.389	4.010	0.22
105.516	4.100	0.22
105.987	3.980	0.22
105.987	4.280	0.22
108.225	4.130	0.22
108.74	4.070	0.22
109.195	4.360	0.22
110.935	4.130	0.22
110.935	4.260	0.22
111.493	4.340	0.22
111.493	4.300	0.22
111.517	4.310	0.22
113.645	4.390	0.22
113.839	4.610	0.22
116.064	4.620	0.22
116.193	4.280	0.22
116.957	4.420	0.22
118.191	4.370	0.22
120.318	4.430	0.22
120.395	4.120	0.22
120.963	4.580	0.22
122.446	3.810	0.22
122.446	4.210	0.22
123.348	4.210	0.22
123.521	3.930	0.22
123.521	3.860	0.22
124.573	3.320	0.22
125.733	3.890	0.22
126.646	3.430	0.22
126.7	3.830	0.22
127.737	3.410	0.22
127.844	3.580	0.22
128.822	3.210	0.22
128.822	3.850	0.22
129.47	3.740	0.22
129.643	3.520	0.22
130.746	4.280	0.22
130.746	3.370	0.22
131.443	3.550	0.22
132.67	4.230	0.22
132.935	4.990	0.22
133.242	4.810	0.22
134.554	5.160	0.22
134.668	5.320	0.22
135.041	5.210	0.22
136.371	5.240	0.22
138.188	5.200	0.22
140.09	5.300	0.22
141.717	5.190	0.22
142.062	5.070	0.22
142.89	5.180	0.22
144.034	5.190	0.22
146.006	4.980	0.22
146.006	4.810	0.22
146.824	5.000	0.22
